年別,台灣地區,新北市,臺北市,桃園市,臺中市,臺南市,高雄市,宜蘭縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,嘉義市,,
67,2069.90 ,2470.80 ,2749.29 ,1763.57 ,1909.10 ,1992.41 ,2005.85 ,1886.84 ,1727.41 ,1761.18 ,1469.22 ,1798.11 ,1433.69 ,1854.13 ,1807.19 ,1566.00 ,1881.63 ,1457.71 ,2267.22 ,0.00 ,0.00 ,,
68,2523.25 ,2985.74 ,3663.92 ,2390.63 ,2340.16 ,2497.09 ,2453.39 ,2091.09 ,2248.07 ,2303.12 ,1993.64 ,2050.25 ,1640.01 ,2025.98 ,2021.35 ,1884.82 ,2361.14 ,1742.39 ,2509.42 ,0.00 ,0.00 ,,
69,3087.41 ,3835.34 ,4118.65 ,2935.85 ,2811.18 ,2971.71 ,3099.90 ,2614.56 ,2758.53 ,2701.47 ,2468.24 ,2450.21 ,2118.03 ,2574.33 ,2521.16 ,2340.77 ,3021.92 ,1962.63 ,3403.60 ,0.00 ,0.00 ,,
70,3471.17 ,4126.74 ,4916.99 ,3372.98 ,3135.69 ,3092.23 ,3480.61 ,3183.78 ,3119.14 ,2946.59 ,2714.69 ,2807.48 ,2237.49 ,2928.34 ,2742.85 ,2825.71 ,3418.13 ,2892.38 ,3682.07 ,0.00 ,0.00 ,,
71,3707.91 ,4066.41 ,5454.64 ,3462.03 ,3502.81 ,3476.35 ,3635.21 ,3210.52 ,3049.68 ,2883.97 ,2889.88 ,2982.22 ,2716.98 ,3159.87 ,2940.51 ,3219.72 ,3529.45 ,2545.57 ,3636.98 ,4245.33 ,3695.49 ,,
72,4002.72 ,4366.83 ,5834.26 ,3714.99 ,3795.90 ,3615.16 ,3929.08 ,3172.87 ,3345.59 ,3160.27 ,3243.78 ,3188.94 ,2799.06 ,3335.36 ,3203.73 ,3350.56 ,3938.55 ,3069.20 ,4213.68 ,4550.45 ,3884.56 ,,
73,4340.88 ,4698.72 ,6097.03 ,4425.22 ,4037.99 ,4081.13 ,4191.03 ,3622.72 ,3788.06 ,3202.69 ,3500.72 ,3416.41 ,3178.63 ,3549.46 ,3598.07 ,3802.62 ,4220.89 ,3748.45 ,4547.23 ,5069.68 ,3958.63 ,,
74,4471.26 ,4751.82 ,6327.08 ,4609.57 ,4359.56 ,4167.98 ,4217.96 ,3910.38 ,3897.04 ,3608.78 ,3513.47 ,3639.97 ,3196.58 ,3502.46 ,3799.31 ,3920.78 ,4057.21 ,3777.12 ,4873.55 ,5043.85 ,4258.85 ,,
75,4754.86 ,4851.74 ,6565.60 ,4969.74 ,4695.73 ,4382.28 ,4705.01 ,4164.90 ,3896.34 ,3917.90 ,3696.49 ,3444.85 ,3505.32 ,4020.82 ,4081.20 ,3779.27 ,5211.07 ,3829.28 ,4984.41 ,5543.37 ,4517.81 ,,
76,5198.51 ,5436.71 ,7006.55 ,5174.52 ,5292.57 ,4725.52 ,4941.82 ,4706.75 ,4360.04 ,4282.98 ,4028.40 ,4233.68 ,3777.17 ,4337.24 ,4408.90 ,4226.71 ,5008.46 ,3712.65 ,5828.01 ,6920.09 ,4759.71 ,,
77,5884.09 ,6159.95 ,8384.67 ,5713.53 ,5687.22 ,5440.15 ,5594.36 ,4920.83 ,4724.98 ,4703.46 ,4451.90 ,4358.89 ,3952.75 ,4646.19 ,5043.34 ,4905.76 ,5877.64 ,4976.48 ,6613.26 ,7662.00 ,5136.30 ,,
78,6605.39 ,7127.93 ,8979.93 ,6373.17 ,6595.27 ,5818.59 ,6649.60 ,5331.39 ,5600.05 ,5130.78 ,4650.71 ,5195.87 ,4599.68 ,5254.70 ,5617.76 ,5440.69 ,6929.10 ,5297.33 ,7062.61 ,8795.00 ,6059.01 ,,
79,7365.21 ,7754.05 ,10543.51 ,6905.56 ,7185.81 ,6539.30 ,7386.76 ,6349.02 ,5915.47 ,5890.46 ,5119.34 ,5780.38 ,5306.65 ,5520.47 ,5890.90 ,5799.71 ,6990.82 ,6155.38 ,7684.19 ,8664.86 ,7586.21 ,,
80,8248.40 ,8714.31 ,11671.67 ,7345.78 ,8040.90 ,7502.62 ,8291.09 ,7152.63 ,7019.86 ,6283.52 ,6029.96 ,6453.24 ,5832.30 ,6172.22 ,6514.27 ,6057.14 ,8030.07 ,7182.52 ,9416.69 ,9116.52 ,8208.89 ,,
81,9049.19 ,9423.81 ,12962.27 ,7922.26 ,8978.33 ,8126.75 ,9104.12 ,7745.93 ,7096.65 ,6715.15 ,6344.10 ,7394.82 ,6469.91 ,6964.36 ,7026.78 ,7088.37 ,9293.23 ,6488.51 ,10656.53 ,10453.71 ,9209.75 ,,
82,10246.61 ,10505.92 ,14445.85 ,9291.39 ,10403.54 ,9187.58 ,10144.24 ,8376.86 ,8475.54 ,8201.20 ,6860.02 ,8927.17 ,7721.08 ,8182.84 ,8431.28 ,8654.37 ,10460.81 ,8526.23 ,11441.71 ,12358.31 ,11247.25 ,,
83,11318.14 ,11283.19 ,16906.72 ,10519.37 ,11147.79 ,9519.89 ,11329.27 ,9899.67 ,9195.72 ,8577.21 ,7923.41 ,9218.54 ,8149.01 ,8300.70 ,9205.37 ,9398.92 ,13043.31 ,7674.19 ,12142.47 ,12778.60 ,11696.65 ,,
